                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS : US	altitude :        
                             	FIPS : US	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS : US	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS : US	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS : US	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS : US	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS : US	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS : US	altitude :        
                             	FIPS : US	altitude :        
                             	FIPS : US	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS : US	altitude :        
                             	FIPS : US	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS : US	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS : US	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS : US	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS : US	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS : US	altitude :        
                             	FIPS : US	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS : US	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS : US	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS : US	altitude :        
                             	FIPS : US	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
                             	FIPS :   	altitude :        
